dataset_uuid,collection_id,dataset_id,sample_id,directory,filepath,filename,file_extension,file_size,file_creation_date,sha256,md5,xxh128
,009c1e6fcc03ebac,UNKNOWN,190900,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022515-190900,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022515-190900/readme.txt,readme.txt,.txt,37.0,2020-06-2205:49:26,b645acab17ae01c9d856929d79ceaa02aa849408ed69b379f2c432ddc9a7bcd7,3be0cb0979be3795f2aef1c2f9bb8fce,None
,009c1e6fcc03ebac,UNKNOWN,190900,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022515-190900,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022515-190900/xxhash_dat_mouseID_19022515-190900,xxhash_dat_mouseID_19022515-190900,,1102725.0,2020-06-2206:32:41,2205309f7810ffcf78702f5c7520b0cf26a4647d6305c5ae744e7b414f250e16,5259a7c4d875deb65091e6a364e8762a,None
,009c1e6fcc03ebac,UNKNOWN,190900,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022515-190900,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022515-190900/190900.json,190900.json,.json,534.0,2020-06-2205:45:12,707a7b0279d2d125caab2bc2464af61e0a3fe12d3014b36f11f662a193f07652,fcf37f5631650097e4296f7bbe6f949a,None
,009c1e6fcc03ebac,UNKNOWN,193376,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_019081505-193376/,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_019081505-193376/xxhash_dat_mouseID_019081505-193376,xxhash_dat_mouseID_019081505-193376,,1047828.0,2020-06-3004:15:22,2e4f2b0987f6b6eade88c7e33b912126fd8b36f8d0c737f506c3fc73f9089673,01628c6d1806c80f628f260b46a8204d,68e1037ef6ce80b7becc2c7be918a65b
,009c1e6fcc03ebac,UNKNOWN,190901,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022516-190901,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022516-190901/readme.txt,readme.txt,.txt,74.0,2020-06-2206:12:25,186f660cd4ff488fad2f141c84d2f7267ebef38f0c9b8f6ac694add95bad1142,d16e2d837769b6c98db361dd39ac86a7,None
,009c1e6fcc03ebac,UNKNOWN,190901,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022516-190901,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022516-190901/190901-metainfo.txt,190901-metainfo.txt,.txt,693.0,2020-06-2206:13:15,dd60a75dcde2163e41a714e6ae97899a66407f1731b2eb01b4941aafbd5cd78e,09583770013d577b7e28c3ecf8e55bae,None
,009c1e6fcc03ebac,UNKNOWN,190901,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022516-190901,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022516-190901/190901.json,190901.json,.json,534.0,2020-06-2206:10:53,1bb508fa09d708998cda8258d382e97085f7aef1fbdd06a49fb1629c49fd09cc,1ddb2f1070daa5239c1541b77d76e9ae,None
,009c1e6fcc03ebac,UNKNOWN,190902,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022512-190902,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022512-190902/190902.json,190902.json,.json,534.0,2020-06-2206:40:18,df0fb57a9ffc2df2f27326d5258e2e675bef26183a273369b27681487473e851,b4bcf374a51f1e8b2a95d7fb7bcbb594,None
,009c1e6fcc03ebac,UNKNOWN,190902,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022512-190902,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022512-190902/readme.txt,readme.txt,.txt,103.0,2020-06-2206:42:13,c4105dcd009878252b38616e2b636fab4132dbebdae5da43e17ebc56f7f46f16,19c5c70bca93ff453d956a23e2245be7,None
,009c1e6fcc03ebac,UNKNOWN,190902,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022512-190902,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022512-190902/190902-metainfo.txt,190902-metainfo.txt,.txt,693.0,2020-06-2206:42:10,699370600369cb8f5ce9e275bb3047d230a05d9058d21aedda2beb419d75fca8,bd949d4c1c88bacd86c9ef993b6872a2,None
